formula,atom a,atom b,lowest distortion,e_form,e_hull,mu_b,vpa,gap pbe,a,b,c,alpha,beta,gamma,e_form oxygen
NaReO3,Na,Re,cubic,-1.932,0.006999999999999999,-0.001,11.534,0.0,3.863,3.863,3.863,90,90,90,4.3389999999999995
NaRhO3,Na,Rh,orthorhombic,-1.139,0.094,0.09,10.64,0.0,5.244,5.389,7.53,90,90,90,0.41700000000000004
NaRuO3,Na,Ru,orthorhombic,-1.416,0.045,0.216,10.729000000000001,0.0,5.288,5.377,7.547,90,90,90,2.053
NaSbO3,Na,Sb,orthorhombic,-1.8319999999999999,0.09,-,11.477,1.6469999999999998,5.42,5.486,7.719,90,90,90,2.765
NaScO3,Na,Sc,orthorhombic,-2.136,0.353,0.4,12.777000000000001,0.0,5.545,5.804,7.941,90,90,90,-1.205
NaSiO3,Na,Si,orthorhombic,-2.22,0.289,-,8.777999999999999,0.0,4.989,4.99,7.053,90,90,90,0.213
NaSmO3,Na,Sm,orthorhombic,-2.245,0.185,0,13.5,2.7439999999999998,6.111,6.245,7.075,90,90,90,-1.399
NaSnO3,Na,Sn,orthorhombic,-1.56,0.24100000000000002,-,12.555,0.0,5.585,5.682,7.913,90,90,90,-0.42100000000000004
NaSrO3,Na,Sr,cubic,-0.8690000000000001,0.96,-,18.605999999999998,0.0,4.531,4.531,4.531,90,90,90,-6.928
NaTaO3,Na,Ta,orthorhombic,-2.932,-0.092,0,11.773,2.8510000000000004,5.466,5.534,7.784,90,90,90,6.194
NaTbO3,Na,Tb,orthorhombic,-2.171,0.198,0,13.147,2.583,6.023,6.163,7.084,90,90,90,-1.3459999999999999
NaTcO3,Na,Tc,cubic,-1.8430000000000002,-0.249,-0.001,11.372,0.0,3.845,3.845,3.845,90,90,90,3.6289999999999996
NaTeO3,Na,Te,orthorhombic,-1.489,0.08199999999999999,-,12.398,0.0,5.546,5.652,7.911,90,90,90,1.619
NaThO3,Na,Th,orthorhombic,-2.805,0.271,0.2,15.727,0.0,5.963,6.182,8.532,90,90,90,-0.084
NaTiO3,Na,Ti,cubic,-2.459,0.14400000000000002,0.083,11.577,0.0,3.868,3.868,3.868,90,90,90,-0.301
NaTlO3,Na,Tl,cubic,-0.523,0.579,-,15.06,0.0,4.223,4.223,4.223,90,90,90,-2.0069999999999997
NaTmO3,Na,Tm,orthorhombic,-2.141,0.405,0.238,13.584000000000001,0.0,5.919,5.986,7.668,90,90,90,-1.205
NaUO3,Na,U,orthorhombic,-3.1039999999999996,0.003,0.2,14.05,3.2539999999999996,5.726,5.947,8.252,90,90,90,4.35
NaVO3,Na,V,tetragonal,-2.261,0.214,0,10.687000000000001,0.38,3.673,3.673,3.961,90,90,90,2.295
NaWO3,Na,W,cubic,-2.38,-0.03,0,11.800999999999998,0.0,3.893,3.893,3.893,90,90,90,5.438
NaYO3,Na,Y,orthorhombic,-2.301,0.19,0,13.020999999999999,2.772,6.06,6.126,7.015,90,90,90,-1.3330000000000002
NaYbO3,Na,Yb,orthorhombic,-1.834,0.196,-,12.925,0.0,5.996,6.187,6.968,90,90,90,-5.591
NaZnO3,Na,Zn,cubic,-0.71,0.5760000000000001,-,11.392999999999999,0.0,3.848,3.848,3.848,90,90,90,-1.851
NaZrO3,Na,Zr,orthorhombic,-2.59,0.192,0.2,13.283,0.0,5.659,5.817,8.07,90,90,90,-0.312
NbAcO3,Nb,Ac,rhombohedral,-2.7689999999999997,0.268,0,17.012,0.44799999999999995,6.029,6.029,6.029,64.5,64.5,64.5,-1.015
NbAgO3,Nb,Ag,orthorhombic,-1.87,0.182,0,14.047,1.521,5.571,5.888,8.565,90,90,90,-8.804
NbAlO3,Nb,Al,cubic,-2.135,0.746,0.377,9.661,0.0,3.642,3.642,3.642,90,90,90,3.221
NbAsO3,Nb,As,cubic,-0.6679999999999999,1.556,0.54,11.909,0.0,3.905,3.905,3.905,90,90,90,-0.092
NbAuO3,Nb,Au,cubic,0.091,2.12,0.446,13.347999999999999,0.0,4.056,4.056,4.056,90,90,90,-8.792
NbBO3,Nb,B,cubic,-1.261,1.3119999999999998,0.281,7.859,0.0,3.4,3.4,3.4,90,90,90,2.549
NbBaO3,Nb,Ba,orthorhombic,-2.685,0.332,0,17.848,0.0,5.693,6.538,9.589,90,90,90,-16.578
NbBeO3,Nb,Be,cubic,-1.9669999999999999,0.851,0.017,7.899,0.0,3.405,3.405,3.405,90,90,90,1.975
NbBiO3,Nb,Bi,cubic,-0.36700000000000005,1.8880000000000001,0.598,15.7,0.0,4.282,4.282,4.282,90,90,90,-8.918
NbCdO3,Nb,Cd,orthorhombic,-1.867,0.385,0.169,12.805,0.0,5.648,5.876,7.718,90,90,90,-9.562999999999999
NbCeO3,Nb,Ce,cubic,-0.998,2.09,0.401,18.336,0.0,4.509,4.509,4.509,90,90,90,-9.862
NbCoO3,Nb,Co,cubic,-1.0270000000000001,1.247,0.146,9.741,0.0,3.652,3.652,3.652,90,90,90,0.373
NbCrO3,Nb,Cr,orthorhombic,-2.265,0.223,1,10.911,0.0,5.348,5.687,7.174,90,90,90,0.74
NbCuO3,Nb,Cu,rhombohedral,-2.069,0.11800000000000001,0,12.309000000000001,1.077,5.03,5.226,5.754,77.3,109,68.7,-1.2109999999999999
NbErO3,Nb,Er,cubic,-1.6340000000000001,1.598,0.4,14.812000000000001,0.0,4.2,4.2,4.2,90,90,90,-5.747999999999999
NbEuO3,Nb,Eu,orthorhombic,-2.865,0.34600000000000003,-0.003,14.095999999999998,0.0,5.68,6.069,8.177,90,90,90,-12.689
NbFeO3,Nb,Fe,cubic,-1.065,1.278,1.371,10.915999999999999,0.0,3.793,3.793,3.793,90,90,90,-0.263
NbGaO3,Nb,Ga,orthorhombic,-1.916,0.429,0.4,10.56,0.0,5.317,5.486,7.241,90,90,90,-0.13
NbGdO3,Nb,Gd,cubic,-1.426,1.767,0.401,15.942,0.0,4.304,4.304,4.304,90,90,90,-7.275
NbGeO3,Nb,Ge,cubic,-1.053,1.213,0.557,10.89,0.0,3.79,3.79,3.79,90,90,90,1.286
NbHfO3,Nb,Hf,cubic,-2.125,1.041,0.6,13.363,0.0,4.058,4.058,4.058,90,90,90,-0.26
NbHgO3,Nb,Hg,orthorhombic,-1.7530000000000001,0.324,0,16.402,0.0,5.568,6.263,9.406,90,90,90,-10.886
NbHoO3,Nb,Ho,cubic,-1.587,1.6369999999999998,0.4,15.056,0.0,4.222,4.222,4.222,90,90,90,-6.107
NbInO3,Nb,In,orthorhombic,-1.781,0.52,0.362,12.555,0.0,5.641,5.915,7.525,90,90,90,-5.317
NbIrO3,Nb,Ir,cubic,-0.359,1.7819999999999998,0.375,11.999,0.0,3.915,3.915,3.915,90,90,90,-3.832
NbKO3,Nb,K,rhombohedral,-2.079,0.618,0,17.934,2.177,6.353,6.353,6.353,59.5,59.5,59.5,-19.044
NbLaO3,Nb,La,rhombohedral,-2.7760000000000002,0.406,0,15.770999999999999,0.39799999999999996,5.843,5.843,5.843,65.4,65.4,65.4,-9.466000000000001
NbLiO3,Nb,Li,orthorhombic,-2.634,0.10300000000000001,0,9.588,2.594,4.772,5.139,7.819,90,90,90,-2.884
NbLuO3,Nb,Lu,cubic,-1.776,1.48,0.4,14.095,0.0,4.131,4.131,4.131,90,90,90,-4.611000000000001
NbMgO3,Nb,Mg,cubic,-1.578,1.274,0.165,10.041,0.0,3.689,3.689,3.689,90,90,90,-2.489
NbMnO3,Nb,Mn,cubic,-1.285,1.2229999999999999,1.196,10.92,0.0,3.794,3.794,3.794,90,90,90,-1.475
NbMoO3,Nb,Mo,cubic,-1.169,1.136,0.561,12.128,0.0,3.929,3.929,3.929,90,90,90,0.9940000000000001
NbNaO3,Nb,Na,orthorhombic,-2.492,0.214,0,13.091,2.6010000000000004,5.522,5.708,8.307,90,90,90,-10.647
Nb2O3,Nb,Nb,cubic,-1.569,0.924,0.609,12.867,0.0,4.007,4.007,4.007,90,90,90,2.484
NbNdO3,Nb,Nd,cubic,-1.15,1.975,0.399,17.42,0.0,4.433,4.433,4.433,90,90,90,-9.017000000000001
NbNiO3,Nb,Ni,cubic,-0.956,1.307,0.56,9.814,0.0,3.661,3.661,3.661,90,90,90,-0.47700000000000004
NbOsO3,Nb,Os,cubic,-0.491,1.666,0.306,11.860999999999999,0.0,3.9,3.9,3.9,90,90,90,-1.774
NbPaO3,Nb,Pa,cubic,-1.584,1.138,0.8,16.702,0.0,4.371,4.371,4.371,90,90,90,3.096
NbPbO3,Nb,Pb,rhombohedral,-1.811,0.489,0,15.75,0.0,5.732,5.732,5.732,68.7,68.7,68.7,-9.306000000000001
NbPdO3,Nb,Pd,cubic,-0.342,1.77,0.37,12.1,0.0,3.926,3.926,3.926,90,90,90,-1.8430000000000002
NbPmO3,Nb,Pm,cubic,-1.2309999999999999,1.854,0.394,16.983,0.0,4.395,4.395,4.395,90,90,90,-8.55
NbPrO3,Nb,Pr,cubic,-1.079,2.028,0.401,17.844,0.0,4.468,4.468,4.468,90,90,90,-9.427
NbPtO3,Nb,Pt,cubic,-0.20600000000000002,1.895,0.421,12.579,0.0,3.977,3.977,3.977,90,90,90,-4.7860000000000005
NbRbO3,Nb,Rb,orthorhombic,-2.5380000000000003,0.136,0,19.351,3.347,6.027,6.083,10.556,90,90,90,-21.272
NbReO3,Nb,Re,cubic,-0.797,1.442,0.536,12.003,0.0,3.915,3.915,3.915,90,90,90,-0.7490000000000001
NbRhO3,Nb,Rh,cubic,-0.531,1.607,0.331,11.728,0.0,3.885,3.885,3.885,90,90,90,-1.3769999999999998
NbRuO3,Nb,Ru,cubic,-0.644,1.528,0.231,11.627,0.0,3.874,3.874,3.874,90,90,90,-1.403
NbSbO3,Nb,Sb,cubic,-0.672,1.584,0.647,13.717,0.0,4.093,4.093,4.093,90,90,90,0.34
NbScO3,Nb,Sc,cubic,-1.9480000000000002,1.21,0.4,12.386,0.0,3.956,3.956,3.956,90,90,90,-2.4290000000000003
NbSiO3,Nb,Si,cubic,-1.605,1.101,0.561,9.385,0.0,3.607,3.607,3.607,90,90,90,2.9739999999999998
NbSmO3,Nb,Sm,cubic,-1.28,1.8769999999999998,0.399,16.675,0.0,4.369,4.369,4.369,90,90,90,-8.22
NbSnO3,Nb,Sn,orthorhombic,-1.9609999999999999,0.355,0,12.934000000000001,0.0,5.735,6.622,6.811,90,90,90,1.4669999999999999
NbSrO3,Nb,Sr,orthorhombic,-2.7030000000000003,0.318,0,15.624,0.0,5.672,6.217,8.862,90,90,90,-14.052999999999999
NbTaO3,Nb,Ta,cubic,-1.7269999999999999,0.895,0.643,12.692,0.0,3.989,3.989,3.989,90,90,90,2.888
NbTbO3,Nb,Tb,cubic,-1.3519999999999999,1.7209999999999999,0.401,15.634,0.0,4.276,4.276,4.276,90,90,90,-6.862
NbTcO3,Nb,Tc,cubic,-0.871,1.367,0.416,11.765,0.0,3.889,3.889,3.889,90,90,90,-0.583
NbTeO3,Nb,Te,cubic,-0.39,1.791,0.622,14.536,0.0,4.173,4.173,4.173,90,90,90,-3.04
NbThO3,Nb,Th,cubic,-1.781,1.6230000000000002,0.6,18.639,0.0,4.534,4.534,4.534,90,90,90,-4.59
NbTiO3,Nb,Ti,cubic,-1.98,0.877,0.526,11.392999999999999,0.0,3.848,3.848,3.848,90,90,90,1.931
NbTlO3,Nb,Tl,rhombohedral,-1.642,0.6459999999999999,0,15.555,0.293,5.662,5.662,5.662,70.2,70.2,70.2,-9.673
NbTmO3,Nb,Tm,cubic,-1.694,1.5530000000000002,0.4,14.535,0.0,4.173,4.173,4.173,90,90,90,-5.3
NbUO3,Nb,U,cubic,-1.791,1.3619999999999999,1,16.166,0.0,4.324,4.324,4.324,90,90,90,3.0060000000000002
NbVO3,Nb,V,cubic,-1.581,0.981,0.8,11.034,0.0,3.807,3.807,3.807,90,90,90,1.403
NbWO3,Nb,W,cubic,-1.186,1.123,0.609,12.214,0.0,3.938,3.938,3.938,90,90,90,1.156
NbYO3,Nb,Y,cubic,-1.5119999999999998,1.68,0.399,15.345999999999998,0.0,4.249,4.249,4.249,90,90,90,-6.49
NbYbO3,Nb,Yb,orthorhombic,-2.8739999999999997,0.28300000000000003,0.197,12.862,0.0,5.65,5.796,7.855,90,90,90,-10.296
NbZnO3,Nb,Zn,cubic,-0.866,1.4580000000000002,0.29,10.77,0.0,3.776,3.776,3.776,90,90,90,-4.159
NbZrO3,Nb,Zr,cubic,-1.931,1.11,0.6,13.905,0.0,4.112,4.112,4.112,90,90,90,-1.584
NdAcO3,Nd,Ac,cubic,-2.374,1.226,0,20.452,0.0,4.676,4.676,4.676,90,90,90,1.695
NdAgO3,Nd,Ag,orthorhombic,-1.903,0.076,0,13.295,0.0,5.569,5.992,7.969,90,90,90,0.039
NdAlO3,Nd,Al,rhombohedral,-3.513,-0.03,0,10.645,4.598,5.297,5.297,5.297,60.6,60.6,60.6,6.454
NdAsO3,Nd,As,cubic,-2.055,0.563,0,13.12,0.0,4.033,4.033,4.033,90,90,90,2.687
NdAuO3,Nd,Au,orthorhombic,-1.943,0.08199999999999999,0,13.675,0.853,5.682,6.525,7.377,90,90,90,-0.053
NdBO3,Nd,B,cubic,-2.431,0.867,0,8.908999999999999,2.497,3.545,3.545,3.545,90,90,90,5.021
NdBaO3,Nd,Ba,orthorhombic,-2.701,0.287,0.112,19.582,0.0,6.118,6.118,10.463,90,90,90,-5.358
NdBeO3,Nd,Be,cubic,-2.7089999999999996,0.35100000000000003,0.2,9.542,0.0,3.627,3.627,3.627,90,90,90,-0.44299999999999995
NdBiO3,Nd,Bi,cubic,-1.7109999999999999,0.836,0,16.618,0.0,4.364,4.364,4.364,90,90,90,1.33
NdCaO3,Nd,Ca,cubic,-2.323,0.8290000000000001,0.2,14.231,0.0,4.144,4.144,4.144,90,90,90,-2.032
NdCdO3,Nd,Cd,cubic,-1.764,0.604,-0.001,13.994000000000002,0.0,4.121,4.121,4.121,90,90,90,-0.39399999999999996
NdCeO3,Nd,Ce,cubic,-2.517,1.054,0,18.828,0.73,4.549,4.549,4.549,90,90,90,2.475
NdCoO3,Nd,Co,orthorhombic,-2.456,0.002,0.4,11.251,0.0,5.348,5.485,7.671,90,90,90,3.1239999999999997
NdCrO3,Nd,Cr,orthorhombic,-3.122,-0.071,0.6,11.777000000000001,2.29,5.426,5.602,7.748,90,90,90,4.678
NdCuO3,Nd,Cu,orthorhombic,-2.185,0.07400000000000001,0,11.2,0.0,5.373,5.466,7.627,90,90,90,1.235
NdDyO3,Nd,Dy,cubic,-3.089,0.6459999999999999,0,15.73,1.704,4.285,4.285,4.285,90,90,90,4.401
NdErO3,Nd,Er,cubic,-3.182,0.5760000000000001,0,15.243,1.892,4.24,4.24,4.24,90,90,90,4.638999999999999
NdEuO3,Nd,Eu,cubic,-2.325,0.907,0.131,15.669,0.0,4.279,4.279,4.279,90,90,90,-1.3780000000000001
NdFeO3,Nd,Fe,orthorhombic,-2.7060000000000004,-0.036000000000000004,1,11.914000000000001,1.081,5.431,5.648,7.769,90,90,90,3.83
NdGaO3,Nd,Ga,orthorhombic,-2.891,0.001,0,11.664000000000001,3.895,5.426,5.556,7.738,90,90,90,4.861000000000001
NdGdO3,Nd,Gd,cubic,-2.98,0.726,0,16.298,1.412,4.335,4.335,4.335,90,90,90,4.071000000000001
NdGeO3,Nd,Ge,orthorhombic,-2.51,0.20800000000000002,0,12.732999999999999,0.0,5.5,5.835,7.935,90,90,90,3.182
NdHfO3,Nd,Hf,orthorhombic,-3.386,0.152,0.009,13.366,0.0,5.628,5.94,7.996,90,90,90,5.015
NdHgO3,Nd,Hg,cubic,-1.361,0.6940000000000001,-0.001,14.94,0.0,4.212,4.212,4.212,90,90,90,-0.37
NdHoO3,Nd,Ho,cubic,-3.137,0.61,0,15.48,1.702,4.262,4.262,4.262,90,90,90,4.513
NdInO3,Nd,In,orthorhombic,-2.72,0.013000000000000001,0,13.73,2.935,5.643,5.947,8.183,90,90,90,3.3939999999999997
NdIrO3,Nd,Ir,orthorhombic,-2.202,0.087,0,12.385,0.905,5.368,5.918,7.797,90,90,90,-0.008
NdKO3,Nd,K,orthorhombic,-1.943,0.445,0.4,19.02,0.0,6.166,6.251,9.869,90,90,90,-3.388
NdLaO3,Nd,La,cubic,-2.638,1.028,0,18.563,0.693,4.528,4.528,4.528,90,90,90,2.384
NdLiO3,Nd,Li,orthorhombic,-2.215,0.306,0.4,11.164000000000001,0.0,5.131,5.813,7.487,90,90,90,-0.755
NdLuO3,Nd,Lu,orthorhombic,-3.7689999999999997,0.022000000000000002,0,14.002,5.041,5.699,5.95,8.258,90,90,90,4.963
NdMgO3,Nd,Mg,orthorhombic,-2.8569999999999998,0.19399999999999998,0.2,12.04,0.0,5.383,5.771,7.751,90,90,90,-0.68
NdMnO3,Nd,Mn,orthorhombic,-2.885,0.001,0.8,11.967,0.0,5.428,5.715,7.716,90,90,90,3.843
NdMoO3,Nd,Mo,orthorhombic,-2.612,0.212,0.575,12.936,0.0,5.511,5.905,7.95,90,90,90,2.722
NdNaO3,Nd,Na,cubic,-1.581,0.826,0.4,12.612,0.0,3.98,3.98,3.98,90,90,90,-1.9969999999999999
NdNbO3,Nd,Nb,orthorhombic,-2.928,0.19699999999999998,0,13.023,0.0,5.513,6.022,7.845,90,90,90,3.94
Nd2O3,Nd,Nd,cubic,-2.6919999999999997,0.9279999999999999,0,17.831,0.935,4.467,4.467,4.467,90,90,90,3.1069999999999998
NdNiO3,Nd,Ni,orthorhombic,-2.3280000000000003,0.042,0.2,11.089,0.0,5.37,5.42,7.62,90,90,90,1.425
NdNpO3,Nd,Np,cubic,-2.752,0.7979999999999999,0.792,17.182000000000002,0.0,4.412,4.412,4.412,90,90,90,3.451
NdOsO3,Nd,Os,cubic,-1.83,0.551,0.002,12.488,0.0,3.967,3.967,3.967,90,90,90,1.0190000000000001
NdPaO3,Nd,Pa,cubic,-2.533,0.672,0.303,17.909000000000002,0.0,4.474,4.474,4.474,90,90,90,3.571
NdPdO3,Nd,Pd,orthorhombic,-2.142,0.047,0.001,12.681,0.0,5.517,5.951,7.726,90,90,90,0.583
NdPmO3,Nd,Pm,cubic,-2.78,0.8690000000000001,0,17.36,1.128,4.428,4.428,4.428,90,90,90,3.35
NdPrO3,Nd,Pr,cubic,-2.611,0.987,0,18.292,0.745,4.505,4.505,4.505,90,90,90,2.807
NdPtO3,Nd,Pt,cubic,-1.7080000000000002,0.537,0,13.203,0.0,4.042,4.042,4.042,90,90,90,0.171
NdPuO3,Nd,Pu,cubic,-2.7960000000000003,0.831,0.93,16.916,0.0,4.39,4.39,4.39,90,90,90,2.71
NdRbO3,Nd,Rb,cubic,-0.738,1.64,-0.005,16.527,0.0,4.356,4.356,4.356,90,90,90,-2.81
NdReO3,Nd,Re,cubic,-2.042,0.546,0.173,12.558,0.0,3.975,3.975,3.975,90,90,90,1.361
NdRhO3,Nd,Rh,orthorhombic,-2.336,-0.059000000000000004,0,12.251,0.7290000000000001,5.385,5.839,7.793,90,90,90,0.6809999999999999
NdRuO3,Nd,Ru,orthorhombic,-2.339,0.040999999999999995,0.198,12.234000000000002,0.0,5.347,5.888,7.772,90,90,90,1.544
NdSbO3,Nd,Sb,cubic,-1.9140000000000001,0.764,0,15.219000000000001,0.0,4.238,4.238,4.238,90,90,90,1.8
NdScO3,Nd,Sc,orthorhombic,-3.736,-0.022000000000000002,0,12.923,4.473,5.565,5.802,8.004,90,90,90,5.348
NdSiO3,Nd,Si,cubic,-2.679,0.614,0.001,10.671,0.0,3.765,3.765,3.765,90,90,90,4.689
NdSmO3,Nd,Sm,cubic,-2.8339999999999996,0.8270000000000001,0,17.064,1.318,4.402,4.402,4.402,90,90,90,0.9390000000000001
NdSnO3,Nd,Sn,cubic,-2.162,0.615,0,14.186,0.0,4.139,4.139,4.139,90,90,90,2.655
NdSrO3,Nd,Sr,cubic,-1.9080000000000001,1.143,0,16.974,0.0,4.395,4.395,4.395,90,90,90,-2.383
NdTaO3,Nd,Ta,orthorhombic,-2.929,0.32299999999999995,0,12.886,0.0,5.499,6.015,7.792,90,90,90,4.0089999999999995
NdTbO3,Nd,Tb,cubic,-2.905,0.685,0,16.004,1.693,4.309,4.309,4.309,90,90,90,4.27
NdTcO3,Nd,Tc,orthorhombic,-2.469,0.107,0.389,12.448,0.0,5.39,5.918,7.805,90,90,90,2.231
NdTeO3,Nd,Te,cubic,-1.6019999999999999,0.887,0,15.437000000000001,0.0,4.258,4.258,4.258,90,90,90,1.4240000000000002
NdThO3,Nd,Th,cubic,-2.9330000000000003,0.816,0.047,18.964000000000002,0.0,4.56,4.56,4.56,90,90,90,3.009
NdTiO3,Nd,Ti,orthorhombic,-3.3960000000000004,0.023,0.199,12.138,0.0,5.457,5.7,7.804,90,90,90,5.207000000000001
NdTlO3,Nd,Tl,orthorhombic,-2.226,0.053,0,14.802,1.178,5.739,6.113,8.439,90,90,90,1.067
NdTmO3,Nd,Tm,cubic,-3.239,0.537,0,14.978,1.895,4.215,4.215,4.215,90,90,90,4.762
NdUO3,Nd,U,cubic,-2.7310000000000003,0.7979999999999999,0.551,17.191,0.0,4.413,4.413,4.413,90,90,90,2.91
NdVO3,Nd,V,orthorhombic,-3.196,-0.071,0.4,12.091,1.214,5.453,5.703,7.776,90,90,90,4.373
NdWO3,Nd,W,cubic,-2.336,0.589,0.003,12.683,0.0,3.988,3.988,3.988,90,90,90,2.322
NdYO3,Nd,Y,cubic,-3.065,0.649,0,15.735,1.82,4.285,4.285,4.285,90,90,90,4.343
NdYbO3,Nd,Yb,cubic,-2.55,0.726,-0.001,14.1,0.0,4.131,4.131,4.131,90,90,90,-1.216
NdZnO3,Nd,Zn,orthorhombic,-2.377,0.157,0,11.958,0.0,5.395,5.75,7.711,90,90,90,0.32799999999999996
NdZrO3,Nd,Zr,orthorhombic,-3.332,0.155,0.139,13.622,0.0,5.643,6.144,7.858,90,90,90,4.658
NiAcO3,Ni,Ac,rhombohedral,-2.0380000000000003,0.327,0.6,16.180999999999997,0.0,6.367,6.367,6.367,55.1,55.1,55.1,-5.89
NiAgO3,Ni,Ag,orthorhombic,-0.37200000000000005,0.237,0.38,10.552,0.0,5.122,5.323,7.741,90,90,90,-4.487
NiAsO3,Ni,As,cubic,-0.43,0.995,0.288,10.247,0.0,3.714,3.714,3.714,90,90,90,-3.1039999999999996
NiBO3,Ni,B,cubic,-0.47600000000000003,1.3730000000000002,0.6,7.5520000000000005,0.0,3.355,3.355,3.355,90,90,90,-4.481
NiGaO3,Ni,Ga,cubic,-0.499,1.07,0.61,10.832,0.0,3.783,3.783,3.783,90,90,90,-5.002
NiHfO3,Ni,Hf,cubic,-1.744,1.056,0.4,13.216,0.0,4.043,4.043,4.043,90,90,90,-2.313
NiHgO3,Ni,Hg,orthorhombic,-0.32899999999999996,0.35,0.237,11.651,0.0,5.311,5.469,8.022,90,90,90,-4.232
NiMnO3,Ni,Mn,cubic,-0.583,1.013,1.014,9.523,0.0,3.625,3.625,3.625,90,90,90,-3.7460000000000004
NiMoO3,Ni,Mo,cubic,-1.063,0.743,0.214,11.429,0.0,3.852,3.852,3.852,90,90,90,0.705
NiNbO3,Ni,Nb,cubic,-1.4880000000000002,0.775,0.202,12.449000000000002,0.0,3.963,3.963,3.963,90,90,90,1.244
NiPdO3,Ni,Pd,cubic,0.049,0.805,0.499,11.788,0.0,3.892,3.892,3.892,90,90,90,-0.9309999999999999
NiReO3,Ni,Re,cubic,-0.747,0.775,0.195,11.388,0.0,3.847,3.847,3.847,90,90,90,0.228
NiRhO3,Ni,Rh,cubic,-0.22699999999999998,0.893,-0.142,11.537,0.0,3.864,3.864,3.864,90,90,90,-0.282
NiSbO3,Ni,Sb,cubic,-0.607,0.9159999999999999,0.235,12.185,0.0,3.935,3.935,3.935,90,90,90,-1.081
NiSiO3,Ni,Si,cubic,-1.453,0.91,0.4,8.536,0.0,3.495,3.495,3.495,90,90,90,0.759
NiSrO3,Ni,Sr,orthorhombic,-1.4769999999999999,0.315,0.53,13.998,0.0,5.401,5.985,8.661,90,90,90,-8.413
NiTaO3,Ni,Ta,cubic,-1.7369999999999999,0.738,0.2,12.189,0.0,3.935,3.935,3.935,90,90,90,2.05
NiWO3,Ni,W,cubic,-0.276,1.681,-0.224,17.717,0.0,4.458,4.458,4.458,90,90,90,-7.997999999999999
NiZrO3,Ni,Zr,cubic,-1.5490000000000002,1.128,0.4,13.856,0.0,4.107,4.107,4.107,90,90,90,-2.937
NpAcO3,Np,Ac,cubic,-2.417,1.113,0.8,20.378,0.0,4.671,4.671,4.671,90,90,90,1.788
NpAgO3,Np,Ag,cubic,-1.625,0.7070000000000001,0.796,13.411,0.0,4.063,4.063,4.063,90,90,90,0.195
NpAlO3,Np,Al,rhombohedral,-3.502,-0.129,0.8,10.629000000000001,2.622,5.307,5.307,5.307,60.2,60.2,60.2,6.44
NpAsO3,Np,As,cubic,-2.088,0.62,0.818,13.292,0.0,4.051,4.051,4.051,90,90,90,2.908
NpAuO3,Np,Au,cubic,-1.5019999999999998,0.818,0.798,14.095,0.0,4.131,4.131,4.131,90,90,90,0.659
NpBO3,Np,B,cubic,-2.414,0.6990000000000001,0.8,9.112,0.0,3.572,3.572,3.572,90,90,90,4.958
NpBeO3,Np,Be,orthorhombic,-3.0380000000000003,0.375,0.6,9.277000000000001,2.095,5.069,5.077,7.21,90,90,90,1.432
NpCoO3,Np,Co,cubic,-2.318,0.406,0.573,10.705,0.0,3.769,3.769,3.769,90,90,90,2.9219999999999997
NpCrO3,Np,Cr,orthorhombic,-3.083,-0.028999999999999998,1.4,11.729000000000001,1.131,5.441,5.555,7.761,90,90,90,4.8660000000000005
NpCuO3,Np,Cu,rhombohedral,-2.167,0.381,0.764,11.005999999999998,0.0,5.365,5.365,5.365,60.3,60.3,60.3,1.5859999999999999
NpErO3,Np,Er,orthorhombic,-3.699,-0.01,0.8,14.56,2.83,5.781,6.07,8.298,90,90,90,5.227
NpFeO3,Np,Fe,orthorhombic,-2.74,0.094,1.4,12.033,1.35,5.357,5.983,7.509,90,90,90,4.556
NpGaO3,Np,Ga,orthorhombic,-2.862,0.065,0.8,11.752,2.042,5.468,5.536,7.765,90,90,90,4.907
NpGdO3,Np,Gd,cubic,-3.028,0.609,0.8,16.325,1.517,4.338,4.338,4.338,90,90,90,4.648
NpGeO3,Np,Ge,orthorhombic,-2.4819999999999998,0.311,0.798,12.842,0.0,5.546,5.821,7.955,90,90,90,3.955
NpHgO3,Np,Hg,cubic,-1.405,1.003,0.797,14.99,0.0,4.216,4.216,4.216,90,90,90,-0.284
NpIrO3,Np,Ir,cubic,-1.806,0.7390000000000001,0.794,12.77,0.0,3.997,3.997,3.997,90,90,90,0.15
NpLiO3,Np,Li,cubic,-2.336,0.596,0.795,9.578,0.0,3.631,3.631,3.631,90,90,90,-1.828
NpMgO3,Np,Mg,orthorhombic,-3.275,0.129,0.6,11.58,2.262,5.344,5.679,7.631,90,90,90,-0.126
NpMnO3,Np,Mn,rhombohedral,-2.843,0.198,1.6,11.863,0.0,5.463,5.463,5.463,61.3,61.3,61.3,5.185
NpMoO3,Np,Mo,orthorhombic,-2.568,0.304,0.922,12.707,0.0,5.374,6.019,7.857,90,90,90,2.474
NpNaO3,Np,Na,orthorhombic,-2.6260000000000003,0.225,0.4,13.280999999999999,1.515,5.475,5.677,8.546,90,90,90,-4.152
NpNbO3,Np,Nb,orthorhombic,-2.895,0.193,0.76,13.013,0.0,5.49,6.062,7.82,90,90,90,3.591
NpNiO3,Np,Ni,orthorhombic,-2.622,0.10099999999999999,1,11.519,2.162,5.277,5.782,7.551,90,90,90,3.2510000000000003
NpOsO3,Np,Os,cubic,-1.8459999999999999,0.728,0.806,12.609000000000002,0.0,3.98,3.98,3.98,90,90,90,0.907
